RouteID,PaymentPlan,StartHub,Start_Latitude,Start_Longitude,StartDate,StartTime,EndHub,End_Latitude,End_Longitude,EndDate,EndTime,TripType,BikeID,BikeName,Distance_Miles_,Duration,RentalAccessPath,MultipleRental
11753171,Casual,SW 5th at Oak,45.5211726,-122.6763654,7/1/2019,1:09,SW 5th at Oak,45.5211726,-122.6763654,7/1/2019,1:26,,6618,0663 BIKETOWN,1.24,0:16:21,keypad,FALSE
11753172,Casual,,45.5165337,-122.6776568,7/1/2019,1:11,,45.5154692,-122.6794042,7/1/2019,1:17,,6024,0634 BIKETOWN,0.27,0:06:14,keypad,FALSE
11753173,Subscriber,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,1:18,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,1:21,,6526,0594 MSS BIKETOWN,0.01,0:02:59,keypad_rfid_card,FALSE
11753175,Subscriber,,45.5264458,-122.6873355,7/1/2019,1:22,,45.5264458,-122.6873355,7/1/2019,1:32,,7195,0887 BIKETOWN,0.25,0:10:19,keypad,FALSE
11753176,Subscriber,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,1:22,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,2:16,,6494,0734 BIKETOWN ,1.61,0:54:12,keypad_rfid_card,FALSE
11753177,Subscriber,,45.5215967,-122.6737711,7/1/2019,1:24,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,1:26,,6294,0434 BIKETOWN,0.06,0:02:00,keypad,FALSE
11753178,Subscriber,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,1:26,,45.5230674,-122.6764857,7/1/2019,1:51,,7299,0986 XC BLACK HISTORY MONTH,0.44,0:24:59,keypad,FALSE
11753181,Casual,SE Belmont at 33rd,45.51649676,-122.6307517,7/1/2019,1:35,SE 34th at Hawthorne,45.511907,-122.6294804,7/1/2019,1:49,,6322,0604 BIKETOWN ,1.35,0:13:53,keypad,FALSE
11753182,Casual,NE Glisan at 24th,45.52649493,-122.6416328,7/1/2019,1:36,SW Morrison at 18th,45.52196048,-122.6896772,7/1/2019,1:54,,6482,0308 BIKETOWN,2.67,0:17:49,keypad,FALSE
11753186,Casual,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,1:50,SW 4th at College,45.50936198,-122.6812121,7/1/2019,2:32,,24812,0301 BIKETOWN,4.14,0:41:52,keypad,TRUE
11753188,Casual,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,1:52,SW 4th at College,45.50936198,-122.6812121,7/1/2019,2:32,,6478,0623 BIKETOWN,4.13,0:40:01,keypad,TRUE
11753189,Subscriber,,45.5245495,-122.6734472,7/1/2019,1:55,NW 11th at The Fields,45.53232501,-122.6824299,7/1/2019,2:03,,6349,0777 BIKETOWN,0.98,0:07:27,keypad_rfid_card,FALSE
11753190,Casual,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,1:56,SW 4th at College,45.50936198,-122.6812121,7/1/2019,2:31,,6839,0410 BIKETOWN,4.04,0:35:17,keypad,TRUE
11753194,Subscriber,,45.5205884,-122.6936092,7/1/2019,2:08,,45.5212282,-122.6837964,7/1/2019,2:13,,6318,0919 BIKETOWN,0.58,0:05:47,keypad,FALSE
11753201,Subscriber,SE Ladd at Hawthorne,45.5120818,-122.6533493,7/1/2019,2:37,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,2:45,,7390,"0961 DESIGN BIKE, WATERFRONT WANDERER SW ",1.32,0:08:15,keypad,FALSE
11753205,Casual,,45.5482808,-122.6116674,7/1/2019,2:51,,45.5482425,-122.6035047,7/1/2019,2:56,,6247,0593 BIKETOWN,0.41,0:04:53,keypad,FALSE
11753211,Subscriber,,45.559107,-122.6526729,7/1/2019,3:03,,45.559107,-122.6526729,7/1/2019,3:27,,7496,0270 XC BIKETOWN,1.11,0:23:51,keypad,FALSE
11753214,Casual,,45.5197472,-122.6782504,7/1/2019,3:06,,45.5252069,-122.6765159,7/1/2019,13:55,,6122,0040 BIKETOWN,14.02,10:49:52,mobile,FALSE
11753224,Subscriber,NE Multnomah at Grand,45.53146071,-122.659741,7/1/2019,3:24,,45.5313127,-122.662511,7/1/2019,4:14,,6779,0218 BIKETOWN,2.16,0:49:46,keypad,FALSE
11753235,Casual,N Mississippi at Beech,45.54998583,-122.6756573,7/1/2019,3:39,SE 29th at Stark,45.51936283,-122.6359928,7/1/2019,4:06,,6606,0836 BIKETOWN,4.06,0:27:15,mobile,FALSE
11753258,Subscriber,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,4:07,SW Broadway at Smith Memorial Student Union,45.51184309,-122.68372,7/1/2019,4:20,,6027,0674 BIKETOWN,1.75,0:12:35,keypad,FALSE
11753314,Casual,SE 29th at Stark,45.51936283,-122.6359928,7/1/2019,4:41,NE Broadway at 12th,45.53496857,-122.653631,7/1/2019,4:56,,6606,0836 BIKETOWN,1.82,0:14:33,keypad,FALSE
11753329,Subscriber,,45.5315017,-122.6834541,7/1/2019,4:52,,45.5251399,-122.6801824,7/1/2019,4:59,,6650,0814 BIKETOWN,0.73,0:07:14,keypad,FALSE
11753350,Subscriber,NW Thurman at 24th,45.53550403,-122.7006608,7/1/2019,4:59,NW Couch at 11th,45.52374151,-122.6818129,7/1/2019,5:10,,7182,0327 BIKETOWN,1.69,0:10:32,keypad,FALSE
11753361,Subscriber,SW Morrison at 18th,45.52196048,-122.6896772,7/1/2019,5:07,,45.523074,-122.69128,7/1/2019,6:23,,6482,0308 BIKETOWN,3.88,1:16:43,keypad,FALSE
11753364,Casual,NW Raleigh at 21st,45.53409115,-122.6949424,7/1/2019,5:08,NW 19th at Johnson,45.52862062,-122.6905073,7/1/2019,5:12,,6193,0153 BIKETOWN,0.59,0:03:59,keypad,FALSE
11753371,Subscriber,,45.5229722,-122.6821342,7/1/2019,5:13,,45.5136276,-122.6838551,7/1/2019,5:20,,6361,0421 BIKETOWN,0.75,0:06:56,keypad,FALSE
11753405,Casual,,45.5120745,-122.6337819,7/1/2019,5:29,SE 29th at Hawthorne,45.51202353,-122.6363119,7/1/2019,5:31,,7296,0981 BLACK HISTORY MONTH,0.13,0:02:12,keypad_rfid_card,FALSE
11753411,Casual,,45.5193416,-122.6516153,7/1/2019,5:31,NW Station at Irving,45.5282777,-122.6766282,7/1/2019,5:47,,6438,0295 BIKETOWN,1.92,0:15:31,mobile,FALSE
11753420,Casual,,45.5120745,-122.6337819,7/1/2019,5:34,SE 34th at Hawthorne,45.511907,-122.6294804,7/1/2019,5:36,,6274,0819 BIKETOWN,0.22,0:02:23,keypad_rfid_card,FALSE
11753421,Casual,,45.4964312,-122.6708804,7/1/2019,5:34,SW 5th at Main,45.51609691,-122.6790771,7/1/2019,5:46,,6309,0419 BIKETOWN,1.89,0:12:07,mobile,FALSE
11753429,Casual,,45.5120657,-122.6305888,7/1/2019,5:38,SE 29th at Hawthorne,45.51202353,-122.6363119,7/1/2019,5:41,,6651,0072 BIKETOWN ,0.3,0:03:02,keypad,FALSE
11753431,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,5:38,NW Marshall at Tanner Springs Park,45.53083126,-122.6815957,7/1/2019,5:45,,6819,0299 BIKETOWN,1.14,0:07:06,keypad,FALSE
11753453,Casual,SE 29th at Hawthorne,45.51202353,-122.6363119,7/1/2019,5:44,,45.5130821,-122.6818658,7/1/2019,6:03,,6651,0072 BIKETOWN ,2.96,0:19:05,keypad_rfid_card,FALSE
11753454,Subscriber,,45.5256856,-122.6893362,7/1/2019,5:45,NW Station at Irving,45.5282777,-122.6766282,7/1/2019,5:51,,6371,0390 BIKETOWN,0.89,0:06:42,keypad_rfid_card,FALSE
11753467,Subscriber,NW Front at 17th,45.53715171,-122.6881027,7/1/2019,5:48,,45.5314412,-122.6865198,7/1/2019,5:52,,6602,0607 BIKETOWN,0.46,0:04:09,keypad,FALSE
11753468,Subscriber,SE Hawthorne at 20th,45.51222277,-122.6454261,7/1/2019,5:49,SW Market at Keller Fountain Park,45.5123205,-122.6789108,7/1/2019,6:02,,7205,0458 BIKETOWN,1.9,0:13:01,keypad_rfid_card,FALSE
11753473,Subscriber,,45.5555392,-122.6646813,7/1/2019,5:51,NE Wheeler at Multnomah,45.53086696,-122.6658887,7/1/2019,6:00,,19236,0880 xc BIKETOWN,1.87,0:08:57,keypad,FALSE
11753480,Casual,N Failing at Williams,45.55076344,-122.6668663,7/1/2019,5:53,NW Thurman at 24th,45.53550403,-122.7006608,7/1/2019,6:09,,7121,0117 BIKETOWN,3.14,0:15:30,keypad,FALSE
11753524,Casual,,45.5482872,-122.6136972,7/1/2019,6:04,NW 2nd at Everett,45.52536699,-122.6725459,7/1/2019,6:39,,7105,0632 XM BIKETOWN,4.48,0:35:14,mobile,FALSE
11753523,Casual,SE 47th at Hawthorne- Community Corral,45.51195,-122.61416,7/1/2019,6:04,NE Glisan at 24th,45.52649493,-122.6416328,7/1/2019,6:21,,7187,0155 BIKETOWN,2.31,0:17:02,mobile,FALSE
11753535,Subscriber,,45.5259567,-122.6745139,7/1/2019,6:07,,45.5251698,-122.6785327,7/1/2019,6:11,,5989,0872 BIKETOWN,0.33,0:03:36,keypad_rfid_card,FALSE
11753538,Casual,NE Couch at MLK,45.52358836,-122.6619177,7/1/2019,6:08,SW 5th at Morrison,45.51889487,-122.6774061,7/1/2019,6:16,,6623,0079 BIKETOWN,1.03,0:07:46,keypad,FALSE
11753546,Subscriber,,45.5257331,-122.6372284,7/1/2019,6:12,NE 28th at Couch - Community Corral,45.52373453,-122.6372065,7/1/2019,6:13,,6432,0660 BIKETOWN,0.16,0:01:40,keypad,FALSE
11753557,Subscriber,,45.5251698,-122.6785327,7/1/2019,6:14,,45.5266787,-122.6735353,7/1/2019,6:18,,5989,0872 BIKETOWN,0.37,0:04:15,keypad_rfid_card,FALSE
11753558,Subscriber,SE 2nd Pl at Tilikum Way,45.50624163,-122.6633379,7/1/2019,6:14,,45.522975,-122.6637546,7/1/2019,6:23,,6189,0139 BIKETOWN,1.19,0:08:58,keypad_rfid_card,FALSE
11753561,Subscriber,,45.523595,-122.6372618,7/1/2019,6:15,NE 22nd at Burnside,45.52297292,-122.6434118,7/1/2019,6:18,,6053,0882 BIKETOWN,0.36,0:03:04,keypad,FALSE
11753566,Subscriber,,45.523601,-122.6455064,7/1/2019,6:19,SE 9th at Burnside,45.522793,-122.656616,7/1/2019,6:25,,7308,0984 WOMEN’S HISTORY MONTH,0.59,0:05:37,mobile,FALSE
11753568,Casual,NW 18th at Northrup,45.53142501,-122.6895659,7/1/2019,6:20,NW Raleigh at 21st,45.53409115,-122.6949424,7/1/2019,6:23,,6414,0363 BIKETOWN,0.45,0:03:04,keypad,FALSE
11753571,Subscriber,,45.5264324,-122.6712304,7/1/2019,6:21,NW Johnson at Jamison Square,45.5286366,-122.6820195,7/1/2019,6:28,,6169,0500 BIKETOWN ,0.74,0:07:05,keypad,FALSE
11753583,Casual,NE Sandy at 16th,45.52440674,-122.6497686,7/1/2019,6:24,SE 30th at Division,45.50468892,-122.6345551,7/1/2019,6:37,,7133,0307 BIKETOWN,2.08,0:12:47,keypad_rfid_card,FALSE
11753593,Subscriber,,45.5229341,-122.6597069,7/1/2019,6:27,NE Couch at MLK,45.52358836,-122.6619177,7/1/2019,6:30,,7290,0180 BIKETOWN,0.16,0:02:37,keypad,FALSE
11753612,Subscriber,,45.5314412,-122.6865198,7/1/2019,6:31,NW Raleigh at 21st,45.53409115,-122.6949424,7/1/2019,6:37,,6602,0607 BIKETOWN,0.62,0:06:02,mobile,FALSE
11753627,Subscriber,,45.5075539,-122.6848411,7/1/2019,6:34,,45.5100161,-122.6846943,7/1/2019,6:38,,6517,0476 BIKETOWN,0.34,0:03:27,keypad,FALSE
11753629,Casual,NW 13th at Marshall,45.53080401,-122.6844227,7/1/2019,6:35,NW 10th at Everett,45.52500056,-122.6811048,7/1/2019,6:42,,19241,0256 BIKETOWN,0.65,0:06:57,keypad,FALSE
11753636,Casual,SE 34th at Hawthorne,45.511907,-122.6294804,7/1/2019,6:37,,45.5307017,-122.6762415,7/1/2019,6:58,,5997,0150 BIKETOWN,3.76,0:21:04,keypad,FALSE
11753670,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,6:46,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,6:47,,6635,0250 BIKETOWN,0,0:01:14,mobile,TRUE
11753674,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,6:47,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,6:48,,7178,0672 BIKETOWN,0,0:01:14,keypad,TRUE
11753676,Casual,,45.5229722,-122.6821342,7/1/2019,6:48,,45.5250657,-122.684239,7/1/2019,6:53,,6050,0290 BIKETOWN ,0.44,0:05:47,keypad_rfid_card,FALSE
11753677,Subscriber,NE MLK at Knott,45.54179953,-122.6614845,7/1/2019,6:48,,45.5266354,-122.6765624,7/1/2019,7:42,,7181,0128 BIKETOWN,2.75,0:54:03,keypad_rfid_card,FALSE
11753678,Casual,,45.5315321,-122.6814345,7/1/2019,6:48,,45.5230283,-122.6784644,7/1/2019,6:55,,6219,0477 STL BIKETOWN ,0.8,0:06:41,keypad,FALSE
11753680,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,6:48,,45.5299441,-122.6905093,7/1/2019,6:53,,6856,0196 BIKETOWN,0.61,0:04:55,keypad,TRUE
11753683,Subscriber,NW 19th at Johnson,45.52862062,-122.6905073,7/1/2019,6:49,NW Broadway at Everett,45.52507854,-122.6775563,7/1/2019,6:56,,23242,0893 BIKETOWN,0.87,0:06:43,keypad,FALSE
11753689,Casual,N Williams at Fremont,45.5475928,-122.6667604,7/1/2019,6:51,N Williams at Fremont,45.5475928,-122.6667604,7/1/2019,8:17,,6480,0726 BIKETOWN,8.92,1:25:37,mobile,FALSE
11753697,Casual,SE 50th at Division - Community Corral,45.505285,-122.610885,7/1/2019,6:52,NW 13th at Marshall,45.53080401,-122.6844227,7/1/2019,7:21,,7171,0094 BIKETOWN,5.54,0:28:14,keypad,FALSE
11753713,Subscriber,,45.5330149,-122.6720862,7/1/2019,6:55,,45.5248934,-122.6617261,7/1/2019,7:06,,6601,0312 MSS BIKETOWN,0.9,0:10:16,keypad_rfid_card,FALSE
11753725,Subscriber,SE 14th at Stark,45.51844688,-122.651685,7/1/2019,6:57,,45.529259,-122.6536764,7/1/2019,7:05,,6472,0411 BIKETOWN,0.9,0:07:56,keypad,FALSE
11753726,Casual,NW Marshall at Tanner Springs Park,45.53083126,-122.6815957,7/1/2019,6:57,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,7:06,,6819,0299 BIKETOWN,1.19,0:08:24,keypad,FALSE
11753735,Subscriber,NE 15th at Broadway,45.53508224,-122.6505639,7/1/2019,7:00,NE Multnomah at 9th,45.53140997,-122.6574612,7/1/2019,7:07,,7109,0749 BIKETOWN,0.68,0:07:46,keypad,FALSE
11753737,Subscriber,,45.5285184,-122.6904563,7/1/2019,7:00,,45.5153551,-122.6818058,7/1/2019,7:10,,6193,0153 BIKETOWN,1.3,0:09:32,keypad,FALSE
11753743,Casual,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,7:03,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,7:48,,7390,"0961 DESIGN BIKE, WATERFRONT WANDERER SW ",4.1,0:45:12,mobile,FALSE
11753750,Casual,,45.5314984,-122.6566013,7/1/2019,7:05,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,7:19,,7153,0156 BIKETOWN,2.23,0:14:52,mobile,FALSE
11753755,Subscriber,,45.5245495,-122.6734472,7/1/2019,7:06,SW Naito at Ankeny Plaza,45.52269573,-122.6703492,7/1/2019,7:11,,6790,0544 BIKETOWN,0.24,0:05:00,keypad_rfid_card,FALSE
11753759,Subscriber,,45.5360712,-122.6852715,7/1/2019,7:06,NW 18th at Northrup,45.53142501,-122.6895659,7/1/2019,7:12,,6593,0738 BIKETOWN,0.43,0:05:22,keypad,FALSE
11753760,Subscriber,,45.523048,-122.6774256,7/1/2019,7:07,,45.5245495,-122.6734472,7/1/2019,7:12,,7299,0986 XC BLACK HISTORY MONTH,0.31,0:04:49,keypad,FALSE
11753772,Casual,,45.5111947,-122.6805467,7/1/2019,7:10,SE 29th at Hawthorne,45.51202353,-122.6363119,7/1/2019,7:33,,6651,0072 BIKETOWN ,3.02,0:22:44,keypad_rfid_card,FALSE
11753775,Casual,SE Clay at Water,45.51147657,-122.6662856,7/1/2019,7:11,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,7:19,,6530,0039 BIKETOWN,0.65,0:08:06,keypad,FALSE
11753782,Casual,NW Glisan at 21st,45.52634601,-122.6941484,7/1/2019,7:12,SW Morrison at 18th,45.52196048,-122.6896772,7/1/2019,7:19,,6114,0516 BIKETOWN,0.58,0:06:23,keypad,FALSE
11753785,Subscriber,N Morris at Williams,45.54471503,-122.6667845,7/1/2019,7:13,SW Morrison at Pioneer Courthouse Sq.,45.51928859,-122.6792488,7/1/2019,7:23,,7276,0163 XM BIKETOWN,2.02,0:09:39,keypad_rfid_card,FALSE
11753792,Casual,SW Naito at Ankeny Plaza,45.52269573,-122.6703492,7/1/2019,7:14,,45.5282107,-122.673371,7/1/2019,7:19,,6790,0544 BIKETOWN,0.53,0:05:29,keypad,FALSE
11753806,Casual,SE 14th at Stark,45.51844688,-122.651685,7/1/2019,7:16,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,7:24,,6425,0649 BIKETOWN,1.18,0:07:48,keypad,FALSE
11753812,Casual,,45.5341466,-122.6947255,7/1/2019,7:19,NW Flanders at 14th,45.52579919,-122.6855063,7/1/2019,7:26,,6414,0363 BIKETOWN,1.13,0:07:48,keypad,FALSE
11753815,Casual,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,7:19,NW Flanders at 14th,45.52579919,-122.6855063,7/1/2019,7:34,,6659,0154 MSS BIKETOWN,1.67,0:15:32,keypad_rfid_card,FALSE
11753833,Casual,NW Station at Irving,45.5282777,-122.6766282,7/1/2019,7:24,NW Front at 17th,45.53715171,-122.6881027,7/1/2019,7:30,,7372,"0942 DESIGN BIKE, WATERFRONT WANDERER SW",0.86,0:06:23,keypad,FALSE
11753840,Casual,SW Moody at Aerial Tram Terminal,45.49913657,-122.6716433,7/1/2019,7:26,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,7:36,,7163,0173 BIKETOWN,1.28,0:09:58,keypad,FALSE
11753848,Subscriber,SW 18th at Jefferson,45.51816567,-122.6924908,7/1/2019,7:28,SW 4th at College,45.50936198,-122.6812121,7/1/2019,7:37,,6389,0176 BIKETOWN,1.03,0:09:22,keypad_rfid_card,FALSE
11753854,Casual,,45.5048055,-122.6346596,7/1/2019,7:29,NE Couch at MLK,45.52358836,-122.6619177,7/1/2019,7:51,,24811,0033 BIKETOWN,2.96,0:22:02,keypad,FALSE
11753861,Casual,N Vancouver at Alberta,45.55941042,-122.6685226,7/1/2019,7:31,SW Market at Keller Fountain Park,45.5123205,-122.6789108,7/1/2019,7:48,,7288,0401 BIKETOWN,3.63,0:17:26,keypad,FALSE
11753862,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,7:31,NW Pettygrove at 15th,45.53290424,-122.68626,7/1/2019,7:38,,6635,0250 BIKETOWN,1.11,0:06:52,mobile,FALSE
11753871,Casual,,45.5771334,-122.6901172,7/1/2019,7:32,,45.5795456,-122.6822059,7/1/2019,7:36,,7202,0251 BIKETOWN,0.38,0:03:20,keypad,FALSE
11753884,Subscriber,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,7:35,NW 20th at Burnside,45.52331306,-122.6932633,7/1/2019,7:39,,6058,0259 XC BIKETOWN,0.21,0:03:33,keypad,FALSE
11753890,Casual,,45.527931,-122.6495171,7/1/2019,7:36,NE Multnomah at 9th,45.53140997,-122.6574612,7/1/2019,7:41,,7251,0533 BIKETOWN,0.66,0:05:29,mobile,FALSE
11753898,Subscriber,,45.559107,-122.6526729,7/1/2019,7:38,,45.527934,-122.650547,7/1/2019,9:07,,7496,0270 XC BIKETOWN,3.47,1:29:17,keypad,FALSE
11753902,Subscriber,NW 19th at Johnson,45.52862062,-122.6905073,7/1/2019,7:39,SW Morrison at 18th,45.52196048,-122.6896772,7/1/2019,7:44,,6228,0580 BIKETOWN,0.47,0:04:35,keypad,FALSE
11753912,Subscriber,SW Naito at Ankeny Plaza,45.52269573,-122.6703492,7/1/2019,7:41,,45.5231095,-122.6702964,7/1/2019,7:50,,7267,0011 BIKETOWN,0.21,0:09:38,keypad_rfid_card,FALSE
11753916,Casual,SW Naito at Morrison,45.51782551,-122.6724963,7/1/2019,7:41,SE Alder at 6th,45.5178988,-122.6600522,7/1/2019,7:48,,6425,0649 BIKETOWN,0.89,0:06:58,keypad,FALSE
11753930,Casual,,45.5627231,-122.6490744,7/1/2019,7:44,,45.5284672,-122.656532,7/1/2019,8:02,,6590,0037 BIKETOWN,2.97,0:17:43,mobile,FALSE
11753932,Casual,NW 20th at Burnside,45.52331306,-122.6932633,7/1/2019,7:44,NW 4th at Couch,45.52378902,-122.6747386,7/1/2019,7:50,,6058,0259 XC BIKETOWN,1.04,0:06:13,mobile,FALSE
11753933,Casual,NE Going at Grand,45.55645437,-122.6603794,7/1/2019,7:45,NW Broadway at Everett,45.52507854,-122.6775563,7/1/2019,7:58,,6324,0546 BIKETOWN,2.77,0:13:22,keypad,FALSE
11753946,Casual,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,7:48,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,8:55,,6275,0826 BIKETOWN,10.21,1:07:51,keypad,FALSE
11753954,Casual,NW Glisan at 21st,45.52634601,-122.6941484,7/1/2019,7:49,,45.5180198,-122.6803585,7/1/2019,7:57,,6865,0455 BIKETOWN ,1.09,0:07:20,mobile,FALSE
11753959,Casual,SE 30th at Division,45.50468892,-122.6345551,7/1/2019,7:50,Tilikum West at SW Moody,45.5027677,-122.6714408,7/1/2019,8:01,,6395,0473 BIKETOWN,2.11,0:10:54,mobile,FALSE
11753963,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,7:51,,45.5204119,-122.6778923,7/1/2019,7:58,,6240,0216 BIKETOWN  ,1.09,0:06:54,keypad_rfid_card,TRUE
11753973,Subscriber,,45.5263984,-122.6893626,7/1/2019,7:53,,45.5204119,-122.6778923,7/1/2019,8:01,,6464,0559 BIKETOWN,0.82,0:08:15,keypad,FALSE
11753977,Casual,NW Everett at 22nd,45.52487653,-122.6965141,7/1/2019,7:53,NW Flanders at 14th,45.52579919,-122.6855063,7/1/2019,7:57,,6524,0366 BIKETOWN,0.57,0:04:25,keypad,FALSE
11753982,Casual,SW Yamhill at Director Park,45.51898132,-122.6812685,7/1/2019,7:54,SE Clay at Water,45.51147657,-122.6662856,7/1/2019,8:03,,6043,0639 BIKETOWN,1.14,0:09:16,keypad,FALSE
11753989,Casual,SW Park at Portland Art Museum,45.51592353,-122.6833123,7/1/2019,7:55,NW Broadway at Everett,45.52507854,-122.6775563,7/1/2019,8:00,,6873,0134 BIKETOWN,0.82,0:05:55,keypad,FALSE
11753994,Casual,,45.5231391,-122.6723799,7/1/2019,7:55,SW 3rd at Ankeny,45.52247868,-122.6732969,7/1/2019,7:58,,6542,0905 BIKETOWN,0.22,0:02:42,keypad,FALSE
11753996,Casual,,45.523547,-122.6892567,7/1/2019,7:55,,45.5335083,-122.6906418,7/1/2019,8:01,,6896,0920 RFS BIKETOWN ,0.72,0:05:33,mobile,FALSE
11753997,Casual,SW River at Montgomery,45.50910258,-122.6735169,7/1/2019,7:56,SW 5th at Oak,45.5211726,-122.6763654,7/1/2019,8:05,,6475,0853 BIKETOWN,1.18,0:09:01,mobile,FALSE
