DateTime,Day,Date,Time,Total,Westbound,Eastbound,Occasion
07/04/2019 06:45:00 PM,Thursday,2019-07-04,18:45:00,19,9,10,Fourth of July
07/04/2019 07:00:00 PM,Thursday,2019-07-04,19:00:00,19,6,13,Fourth of July
07/04/2019 07:15:00 PM,Thursday,2019-07-04,19:15:00,18,10,8,Fourth of July
07/04/2019 07:30:00 PM,Thursday,2019-07-04,19:30:00,10,4,6,Fourth of July
07/04/2019 07:45:00 PM,Thursday,2019-07-04,19:45:00,23,12,11,Fourth of July
07/04/2019 08:00:00 PM,Thursday,2019-07-04,20:00:00,17,9,8,Fourth of July
07/04/2019 08:15:00 PM,Thursday,2019-07-04,20:15:00,15,7,8,Fourth of July
07/04/2019 08:30:00 PM,Thursday,2019-07-04,20:30:00,16,7,9,Fourth of July
07/04/2019 08:45:00 PM,Thursday,2019-07-04,20:45:00,11,1,10,Fourth of July
07/04/2019 09:00:00 PM,Thursday,2019-07-04,21:00:00,12,2,10,Fourth of July
07/04/2019 09:15:00 PM,Thursday,2019-07-04,21:15:00,12,0,12,Fourth of July
07/04/2019 09:30:00 PM,Thursday,2019-07-04,21:30:00,19,0,19,Fourth of July
07/04/2019 09:45:00 PM,Thursday,2019-07-04,21:45:00,15,3,12,Fourth of July
07/04/2019 10:00:00 PM,Thursday,2019-07-04,22:00:00,26,2,24,Fourth of July
07/04/2019 10:15:00 PM,Thursday,2019-07-04,22:15:00,29,7,22,Fourth of July
07/04/2019 10:30:00 PM,Thursday,2019-07-04,22:30:00,5,2,3,Fourth of July
07/04/2019 10:45:00 PM,Thursday,2019-07-04,22:45:00,16,14,2,Fourth of July
07/04/2019 11:00:00 PM,Thursday,2019-07-04,23:00:00,35,22,13,Fourth of July
07/04/2019 11:15:00 PM,Thursday,2019-07-04,23:15:00,36,29,7,Fourth of July
07/04/2019 11:30:00 PM,Thursday,2019-07-04,23:30:00,14,14,0,Fourth of July
07/04/2019 11:45:00 PM,Thursday,2019-07-04,23:45:00,10,9,1,Fourth of July
07/11/2019 12:00:00 AM,Thursday,2019-07-11,00:00:00,1,1,0,Normal Thursday
07/11/2019 12:15:00 AM,Thursday,2019-07-11,00:15:00,2,2,0,Normal Thursday
07/11/2019 12:30:00 AM,Thursday,2019-07-11,00:30:00,0,0,0,Normal Thursday
07/11/2019 12:45:00 AM,Thursday,2019-07-11,00:45:00,2,1,1,Normal Thursday
07/11/2019 01:00:00 AM,Thursday,2019-07-11,01:00:00,3,2,1,Normal Thursday
07/11/2019 01:15:00 AM,Thursday,2019-07-11,01:15:00,0,0,0,Normal Thursday
07/11/2019 01:30:00 AM,Thursday,2019-07-11,01:30:00,1,1,0,Normal Thursday
07/11/2019 01:45:00 AM,Thursday,2019-07-11,01:45:00,0,0,0,Normal Thursday
07/11/2019 02:00:00 AM,Thursday,2019-07-11,02:00:00,1,1,0,Normal Thursday
07/11/2019 02:15:00 AM,Thursday,2019-07-11,02:15:00,0,0,0,Normal Thursday
07/11/2019 02:30:00 AM,Thursday,2019-07-11,02:30:00,0,0,0,Normal Thursday
07/11/2019 02:45:00 AM,Thursday,2019-07-11,02:45:00,0,0,0,Normal Thursday
07/11/2019 03:00:00 AM,Thursday,2019-07-11,03:00:00,0,0,0,Normal Thursday
07/11/2019 03:15:00 AM,Thursday,2019-07-11,03:15:00,0,0,0,Normal Thursday
07/11/2019 03:30:00 AM,Thursday,2019-07-11,03:30:00,1,1,0,Normal Thursday
07/11/2019 03:45:00 AM,Thursday,2019-07-11,03:45:00,0,0,0,Normal Thursday
07/11/2019 04:00:00 AM,Thursday,2019-07-11,04:00:00,0,0,0,Normal Thursday
07/11/2019 04:15:00 AM,Thursday,2019-07-11,04:15:00,0,0,0,Normal Thursday
07/11/2019 04:30:00 AM,Thursday,2019-07-11,04:30:00,0,0,0,Normal Thursday
07/11/2019 04:45:00 AM,Thursday,2019-07-11,04:45:00,3,3,0,Normal Thursday
07/11/2019 05:00:00 AM,Thursday,2019-07-11,05:00:00,1,0,1,Normal Thursday
07/11/2019 05:15:00 AM,Thursday,2019-07-11,05:15:00,2,0,2,Normal Thursday
07/11/2019 05:30:00 AM,Thursday,2019-07-11,05:30:00,5,3,2,Normal Thursday
07/11/2019 05:45:00 AM,Thursday,2019-07-11,05:45:00,9,2,7,Normal Thursday
07/11/2019 06:00:00 AM,Thursday,2019-07-11,06:00:00,8,1,7,Normal Thursday
07/11/2019 06:15:00 AM,Thursday,2019-07-11,06:15:00,10,1,9,Normal Thursday
07/11/2019 06:30:00 AM,Thursday,2019-07-11,06:30:00,15,2,13,Normal Thursday
07/11/2019 06:45:00 AM,Thursday,2019-07-11,06:45:00,24,6,18,Normal Thursday
07/11/2019 07:00:00 AM,Thursday,2019-07-11,07:00:00,33,5,28,Normal Thursday
07/11/2019 07:15:00 AM,Thursday,2019-07-11,07:15:00,38,5,33,Normal Thursday
07/11/2019 07:30:00 AM,Thursday,2019-07-11,07:30:00,56,6,50,Normal Thursday
07/11/2019 07:45:00 AM,Thursday,2019-07-11,07:45:00,63,9,54,Normal Thursday
07/11/2019 08:00:00 AM,Thursday,2019-07-11,08:00:00,74,11,63,Normal Thursday
07/11/2019 08:15:00 AM,Thursday,2019-07-11,08:15:00,79,8,71,Normal Thursday
07/11/2019 08:30:00 AM,Thursday,2019-07-11,08:30:00,104,12,92,Normal Thursday
07/11/2019 08:45:00 AM,Thursday,2019-07-11,08:45:00,121,12,109,Normal Thursday
07/11/2019 09:00:00 AM,Thursday,2019-07-11,09:00:00,77,11,66,Normal Thursday
07/11/2019 09:15:00 AM,Thursday,2019-07-11,09:15:00,63,14,49,Normal Thursday
07/11/2019 09:30:00 AM,Thursday,2019-07-11,09:30:00,54,8,46,Normal Thursday
07/11/2019 09:45:00 AM,Thursday,2019-07-11,09:45:00,42,7,35,Normal Thursday
07/11/2019 10:00:00 AM,Thursday,2019-07-11,10:00:00,32,9,23,Normal Thursday
07/11/2019 10:15:00 AM,Thursday,2019-07-11,10:15:00,27,6,21,Normal Thursday
07/11/2019 10:30:00 AM,Thursday,2019-07-11,10:30:00,17,7,10,Normal Thursday
07/11/2019 10:45:00 AM,Thursday,2019-07-11,10:45:00,23,9,14,Normal Thursday
07/11/2019 11:00:00 AM,Thursday,2019-07-11,11:00:00,10,3,7,Normal Thursday
07/11/2019 11:15:00 AM,Thursday,2019-07-11,11:15:00,16,6,10,Normal Thursday
07/11/2019 11:30:00 AM,Thursday,2019-07-11,11:30:00,13,2,11,Normal Thursday
07/11/2019 11:45:00 AM,Thursday,2019-07-11,11:45:00,16,6,10,Normal Thursday
07/11/2019 12:00:00 PM,Thursday,2019-07-11,12:00:00,14,4,10,Normal Thursday
07/11/2019 12:15:00 PM,Thursday,2019-07-11,12:15:00,18,11,7,Normal Thursday
07/11/2019 12:30:00 PM,Thursday,2019-07-11,12:30:00,12,5,7,Normal Thursday
07/11/2019 12:45:00 PM,Thursday,2019-07-11,12:45:00,25,15,10,Normal Thursday
07/11/2019 01:00:00 PM,Thursday,2019-07-11,13:00:00,6,2,4,Normal Thursday
07/11/2019 01:15:00 PM,Thursday,2019-07-11,13:15:00,10,6,4,Normal Thursday
07/11/2019 01:30:00 PM,Thursday,2019-07-11,13:30:00,10,7,3,Normal Thursday
07/11/2019 01:45:00 PM,Thursday,2019-07-11,13:45:00,10,4,6,Normal Thursday
07/11/2019 02:00:00 PM,Thursday,2019-07-11,14:00:00,11,4,7,Normal Thursday
07/11/2019 02:15:00 PM,Thursday,2019-07-11,14:15:00,10,6,4,Normal Thursday
07/11/2019 02:30:00 PM,Thursday,2019-07-11,14:30:00,15,8,7,Normal Thursday
07/11/2019 02:45:00 PM,Thursday,2019-07-11,14:45:00,8,5,3,Normal Thursday
07/11/2019 03:00:00 PM,Thursday,2019-07-11,15:00:00,22,14,8,Normal Thursday
07/11/2019 03:15:00 PM,Thursday,2019-07-11,15:15:00,12,6,6,Normal Thursday
07/11/2019 03:30:00 PM,Thursday,2019-07-11,15:30:00,15,11,4,Normal Thursday
07/11/2019 03:45:00 PM,Thursday,2019-07-11,15:45:00,24,17,7,Normal Thursday
07/11/2019 04:00:00 PM,Thursday,2019-07-11,16:00:00,18,11,7,Normal Thursday
07/11/2019 04:15:00 PM,Thursday,2019-07-11,16:15:00,30,23,7,Normal Thursday
07/11/2019 04:30:00 PM,Thursday,2019-07-11,16:30:00,50,34,16,Normal Thursday
07/11/2019 04:45:00 PM,Thursday,2019-07-11,16:45:00,45,33,12,Normal Thursday
07/11/2019 05:00:00 PM,Thursday,2019-07-11,17:00:00,55,43,12,Normal Thursday
07/11/2019 05:15:00 PM,Thursday,2019-07-11,17:15:00,90,66,24,Normal Thursday
07/11/2019 05:30:00 PM,Thursday,2019-07-11,17:30:00,89,64,25,Normal Thursday
07/11/2019 05:45:00 PM,Thursday,2019-07-11,17:45:00,78,65,13,Normal Thursday
07/11/2019 06:00:00 PM,Thursday,2019-07-11,18:00:00,78,64,14,Normal Thursday
07/11/2019 06:15:00 PM,Thursday,2019-07-11,18:15:00,70,56,14,Normal Thursday
07/11/2019 06:30:00 PM,Thursday,2019-07-11,18:30:00,66,45,21,Normal Thursday
07/11/2019 06:45:00 PM,Thursday,2019-07-11,18:45:00,49,36,13,Normal Thursday
07/11/2019 07:00:00 PM,Thursday,2019-07-11,19:00:00,50,39,11,Normal Thursday
07/11/2019 07:15:00 PM,Thursday,2019-07-11,19:15:00,36,30,6,Normal Thursday
07/11/2019 07:30:00 PM,Thursday,2019-07-11,19:30:00,28,22,6,Normal Thursday
07/11/2019 07:45:00 PM,Thursday,2019-07-11,19:45:00,31,27,4,Normal Thursday
07/11/2019 08:00:00 PM,Thursday,2019-07-11,20:00:00,24,20,4,Normal Thursday
07/11/2019 08:15:00 PM,Thursday,2019-07-11,20:15:00,26,21,5,Normal Thursday
07/11/2019 08:30:00 PM,Thursday,2019-07-11,20:30:00,27,21,6,Normal Thursday
07/11/2019 08:45:00 PM,Thursday,2019-07-11,20:45:00,15,13,2,Normal Thursday
07/11/2019 09:00:00 PM,Thursday,2019-07-11,21:00:00,13,12,1,Normal Thursday
07/11/2019 09:15:00 PM,Thursday,2019-07-11,21:15:00,12,7,5,Normal Thursday
07/11/2019 09:30:00 PM,Thursday,2019-07-11,21:30:00,15,10,5,Normal Thursday
07/11/2019 09:45:00 PM,Thursday,2019-07-11,21:45:00,17,11,6,Normal Thursday
07/11/2019 10:00:00 PM,Thursday,2019-07-11,22:00:00,7,5,2,Normal Thursday
07/11/2019 10:15:00 PM,Thursday,2019-07-11,22:15:00,8,8,0,Normal Thursday
07/11/2019 10:30:00 PM,Thursday,2019-07-11,22:30:00,7,5,2,Normal Thursday
07/11/2019 10:45:00 PM,Thursday,2019-07-11,22:45:00,7,3,4,Normal Thursday
07/11/2019 11:00:00 PM,Thursday,2019-07-11,23:00:00,5,4,1,Normal Thursday
07/11/2019 11:15:00 PM,Thursday,2019-07-11,23:15:00,5,5,0,Normal Thursday
07/11/2019 11:30:00 PM,Thursday,2019-07-11,23:30:00,2,1,1,Normal Thursday
07/11/2019 11:45:00 PM,Thursday,2019-07-11,23:45:00,5,4,1,Normal Thursday
