"PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","INTENSITY","PLOT_ID","COUNTYFIPS","HEXID","PROVINCE","SECTION","SUBSECTION","elev","tri","lfevc","lfevh","ppt","tmin01","tmean","tmax","tmin","tdmean","tcc23","tnt","BA","VOLCFNET","VOLBFNET","TPA_UNADJ","DRYBIO_AG","CARBON_AG"
"174763144020004",2013,41,3,35,64852,1,"201","PID410303564852","41035",107379,"M242","M242C","M242Ce",1450,2.82842707633972,47,20,710,-720,614,1404,-175,-75,52,1,714.586,110.235,902.114,1153.594,31.469,15.829
"174763146020004",2013,41,2,19,68857,1,"202","PID410201968857","41019",102999,"M242","M242B","M242Ba",680,70.3846588134766,57,22,1780,42,1103,1728,478,374,33,1,131.122,230.678,12303.32,88277.828,212.719,109.435
"174763148020004",2013,41,1,39,57098,1,"202","PID410103957098","41039",97227,"M242","M242B","M242Bb",1336,66.9925384521484,66,16,1789,-107,838,1380,297,211,85,1,469.048,332.482,11750.391,78266.459,228.618,116.873
"174763149020004",2013,41,3,35,55401,1,"203","PID410303555401","41035",97310,"M242","M242B","M242Bc",1473,16.763053894043,11,26,962,-625,573,1243,-96,-74,42,2,276.558,202.482,5865.718,32061.887,104.075,50.333
"174763150020004",2013,41,2,15,68124,1,"201","PID410201568124","41015",117507,"M242","M242A","M242Ah",903,75.703369140625,79,23,2971,280,1135,1637,633,498,86,1,234.658,351.473,13918.098,87363.814,261.067,134.537
"174763151020004",2013,41,3,17,63294,1,"202","PID410301763294","41017",89149,"M242","M242B","M242Bc",1870,34.4093017578125,50,24,1286,-638,447,1068,-174,-241,68,1,112.322,78.536,1437.137,6793.999,33.856,16.339
"174763152020004",2013,41,3,35,67524,1,"201","PID410303567524","41035",118728,"M242","M242C","M242Ce",1444,8.36660003662109,2,18,398,-664,732,1570,-106,-90,8,2,276.31,92.904,1267.256,5185.42,34.564,17.263
"174763154020004",2013,41,1,39,91493,1,"203","PID410103991493","41039",88723,"M242","M242B","M242Ba",955,84.846923828125,66,34,2120,-11,969,1498,441,416,39,1,120.269,270.854,10270.563,69256.534,196.012,100.607
"174763156020004",2013,41,4,23,56693,1,"202","PID410402356693","41023",85569,"M332","M332G","M332Gh",1668,31.7017345428467,19,18,642,-880,567,1295,-160,-221,18,1,104.305,86.752,2206.062,12219.146,41.988,21.567
"174763157020004",2013,41,1,43,61812,1,"201","PID410104361812","41043",82707,"M242","M242B","M242Bb",787,125.582641601562,76,21,2399,-7,944,1438,451,335,84,1,496.104,58.895,693.857,2260.335,20.948,10.801
"174763158020004",2013,41,1,39,85520,1,"203","PID410103985520","41039",83484,"M242","M242B","M242Bb",848,100.394226074219,67,27,2430,-32,913,1402,424,288,81,1,645.118,60.003,496.409,475.742,14.456,7.295
"174763159020004",2013,41,1,39,75941,1,"201","PID410103975941","41039",83239,"M242","M242B","M242Ba",966,112.862747192383,77,28,2238,-45,911,1416,407,396,78,1,254.416,355.976,14817.459,98720.742,278.914,142.713
"174763167020004",2013,41,4,23,58906,1,"201","PID410402358906","41023",82219,"M332","M332G","M332Gp",1763,60.0499801635742,47,17,536,-558,660,1213,108,-202,53,1,101.285,76.338,1464.3,7591.94,30.723,15.448
"174763168020004",2013,41,3,35,71567,1,"201","PID410303571567","41035",104363,"M242","M242C","M242Ce",1572,9,44,21,726,-665,605,1374,-165,-117,45,1,386.633,75.616,1029.262,2774.178,26.065,13.174
"174763180020004",2013,41,3,35,83028,1,"201","PID410303583028","41035",106601,"M242","M242B","M242Be",1560,18.3847770690918,44,22,967,-664,590,1339,-159,-111,57,1,630.333,82.494,1107.341,2630.877,28.14,14.156
"174763181020004",2013,41,3,35,92619,1,"201","PID410303592619","41035",117976,"M242","M242B","M242Be",1907,83.8868255615234,60,27,1376,-503,558,1102,15,-67,71,1,165.439,379.727,14172.393,90659.101,257.975,123.832
"174763185020004",2013,41,2,15,53609,1,"201","PID410201553609","41015",118894,"M261","M261A","M261Ay",277,106.484741210938,62,31,2283,268,1242,1868,617,614,65,1,3006.628,69.809,1230.629,8166.602,39.822,19.829
"174763186020004",2013,41,4,1,59853,1,"202","PID410400159853","41001",66769,"M332","M332G","M332Ge",1927,47.095645904541,23,17,1299,-809,431,995,-133,-437,14,1,165.236,57.836,934.05,4059.244,22.265,11.065
"174763188020004",2013,41,4,23,54573,1,"203","PID410402354573","41023",76953,"M332","M332G","M332Gb",1392,83.2285995483398,38,17,546,-547,738,1377,98,-111,34,1,147.182,69.641,1661.308,8789.935,33.587,17.239
"174763189020004",2013,41,4,23,57254,1,"201","PID410402357254","41023",76871,"M332","M332G","M332Gb",1533,85.556999206543,51,23,597,-573,699,1310,87,-145,67,1,101.262,122.933,4000.972,23817.602,72.139,37.094
"174763190020004",2013,41,4,1,67259,1,"201","PID410400167259","41001",77820,"342","342H","342Hd",1251,37.6297760009766,0,0,346,-856,692,1479,-94,-87,9,2,1.998,7.85,178.38,1057.941,3.745,1.877
"174763196020004",2013,41,0,5,83348,1,"201","PID410000583348","41005",62617,"M242","M242B","M242Bc",1155,53.563045501709,79,22,1783,-376,616,1078,155,152,85,1,1358.636,319.597,8687.968,47781.202,167.151,84.575
"174763198020004",2013,41,3,65,56282,1,"201","PID410306556282","41065",62303,"M242","M242B","M242Bc",1601,35.8608436584473,70,33,1807,-462,530,992,69,85,72,1,975.59,182.585,2527.205,9117.437,63.681,31.04
"174763200020004",2013,41,1,39,68587,1,"201","PID410103968587","41039",84047,"M242","M242A","M242Aa",293,72.7461318969727,52,21,2544,307,1091,1532,650,694,77,1,35.017,302.714,14386.921,102219.71,278.955,143.889
"174763202020004",2013,41,0,5,57060,1,"201","PID410000557060","41005",66423,"M242","M242B","M242Ba",583,21.4242858886719,67,18,1752,-108,911,1441,380,422,80,1,516.511,99.835,1500.513,4061.356,37.836,19.521
"174763203020004",2013,41,1,41,85242,1,"201","PID410104185242","41041",82401,"M242","M242A","M242Ag",158,102.30835723877,73,35,2090,308,1142,1646,639,703,79,1,146.431,207.126,7656.305,41534.769,146.798,73.404
"174763211020004",2013,41,2,19,77441,1,"201","PID410201977441","41019",102944,"M242","M242B","M242Bb",1261,121.831848144531,72,32,1514,-312,771,1421,121,125,73,1,471.364,184.201,6134.732,35926.561,113.675,58.422
"174763212020004",2013,41,2,19,70718,1,"201","PID410201970718","41019",102246,"M242","M242B","M242Ba",807,79.7496109008789,6,38,1887,66,1091,1698,486,415,11,1,165.144,227.411,11161.825,77168.809,214,110.141
"174763213020004",2013,41,2,19,81168,1,"201","PID410201981168","41019",102628,"M242","M242B","M242Ba",940,62.5779495239258,57,38,1327,19,1034,1651,417,355,78,1,299.36,337.705,15730.948,103273.72,295.293,151.613
"174763214020004",2013,41,2,19,57419,1,"201","PID410201957419","41019",103896,"M242","M242B","M242Ba",647,38.2883796691895,70,27,1724,22,1112,1756,469,397,80,1,792.82,159.144,2758.639,8304.166,67.625,34.857
"174763215020004",2013,41,2,19,88202,1,"201","PID410201988202","41019",104177,"M242","M242B","M242Ba",778,129.603240966797,75,23,1196,-82,1034,1699,370,335,84,1,80.21,148.668,4802.956,29504.799,95.533,48.95
"174763216020004",2013,41,3,35,92329,1,"202","PID410303592329","41035",103814,"M242","M242C","M242Ce",1605,21.8174247741699,48,22,980,-596,597,1307,-115,-92,55,1,786.802,115.327,2288.905,2960.41,47.604,23.926
"174763217020004",2013,41,2,19,81129,1,"202","PID410201981129","41019",103624,"M242","M242B","M242Bb",964,61.9758033752441,64,18,1523,13,986,1580,392,299,84,1,126.379,177.507,5392.909,30496.133,104.435,53.755
"174763218020004",2013,41,3,37,78501,1,"201","PID410303778501","41037",96624,"M242","M242C","M242Ce",1461,8.77496433258057,21,15,301,-829,608,1524,-306,-219,30,1,26.071,51.683,1173.147,6565.085,27.623,14.171
"174763219020004",2013,41,1,39,52952,1,"202","PID410103952952","41039",96170,"M242","M242B","M242Ba",1044,76.6811599731445,72,33,1753,58,952,1486,418,335,75,1,67.175,182.492,8961.997,62207.382,155.791,80.066
"174763220020004",2013,41,1,39,76382,1,"201","PID410103976382","41039",95980,"M242","M242B","M242Bc",1770,126.265594482422,69,27,1932,-343,594,1127,60,-53,65,1,333.741,270.364,8936.603,50981.993,146.072,71.605
"174763221020004",2013,41,3,37,91209,1,"201","PID410303791209","41037",96916,"M242","M242C","M242Ce",1688,17.5783958435059,41,17,488,-551,626,1321,-68,-139,44,1,909.391,83.867,907.326,857.284,25.777,12.969
"174763222020004",2013,41,1,39,84410,1,"202","PID410103984410","41039",90408,"M242","M242B","M242Ba",769,159.241958618164,62,23,1895,77,1033,1552,513,466,73,1,817.49,163.536,5117.029,32648.526,107.395,55.274
"174763223020004",2013,41,2,15,84870,1,"202","PID410201584870","41015",118631,"M261","M261A","M261Ay",1074,93.9308242797852,17,18,2607,159,1038,1527,549,322,47,1,60.158,141.274,4099.429,25382.678,83.677,42.371
"174763229020004",2013,41,2,19,71565,1,"203","PID410201971565","41019",90745,"M242","M242A","M242Ag",101,54.5160522460938,42,18,2144,279,1142,1662,622,697,85,1,162.441,241.89,11356.833,75778.233,208.503,107.325
"174763230020004",2013,41,2,19,88283,1,"202","PID410201988283","41019",100067,"M242","M242B","M242Bc",1723,38,63,21,1802,-600,462,1070,-144,-166,69,1,574.421,195.726,6099.392,35590.684,104.713,51.475
"174763234020004",2013,41,3,17,98341,1,"201","PID410301798341","41017",84810,"M242","M242C","M242Cd",1649,28.3196048736572,39,36,931,-522,560,1177,-57,-98,34,1,589.409,230.293,7332.757,43039.601,126.228,64.57
"174763235020004",2013,41,3,35,74363,1,"201","PID410303574363","41035",105937,"M242","M242C","M242Ce",1652,28.2665882110596,45,22,766,-560,646,1372,-78,-122,61,1,282.328,89.99,1793.366,7133.455,39.606,20.047
"174763242020004",2013,41,3,13,61588,1,"201","PID410301361588","41013",87412,"M332","M332G","M332Gb",1704,46.249324798584,32,12,339,-535,665,1278,52,-169,18,1,114.343,106.019,2508.15,12937.469,50.18,25.742
"174763244020004",2013,41,4,1,54713,1,"201","PID410400154713","41001",66769,"M332","M332G","M332Ge",1667,59.7662124633789,39,19,1162,-893,474,1123,-175,-438,48,1,13.035,9.256,323.219,2138.039,7.069,3.366
"174763245020004",2013,41,0,71,65913,1,"201","PID410007165913","41071",63567,"M242","M242A","M242Ad",718,52.2302589416504,80,27,2724,60,878,1268,489,536,79,1,167.189,361.29,17738.425,121707.537,326.365,168.404
"174763246020004",2013,41,0,5,80391,1,"202","PID410000580391","41005",65681,"M242","M242B","M242Ba",477,80.2122192382812,7,38,1822,-46,961,1493,431,450,35,1,478.109,213.94,8357.974,54761.131,157.814,80.295
"174763247020004",2013,41,0,5,56655,1,"202","PID410000556655","41005",65252,"M242","M242B","M242Bc",1333,13,59,26,1782,-359,619,1085,153,225,76,1,1692.882,177.149,2979.16,15151.2,71.598,34.698
"174763249020004",2013,41,4,59,75473,1,"201","PID410405975473","41059",56171,"M332","M332G","M332Gc",1211,110.729400634766,11,10,995,-479,714,1285,143,-32,20,2,349.981,128.659,3758.933,23950.2,74.007,37.133
"174763251020004",2013,41,1,43,91155,1,"202","PID410104391155","41043",80571,"M242","M242B","M242Bb",1470,83.7376861572266,72,34,2989,-225,689,1171,208,209,75,1,164.486,145.704,4457.947,24182.051,77.731,38.639
"174763253020004",2013,41,4,63,88470,1,"202","PID410406388470","41063",52240,"M332","M332G","M332Gd",1505,115.926704406738,33,15,570,-503,633,1188,77,-150,33,1,13.035,39.173,1349.529,8480.98,28.314,14.428
"174763254020004",2013,41,2,15,76304,1,"203","PID410201576304","41015",121141,"M261","M261A","M261Ay",774,79.1327972412109,57,16,3485,345,1086,1507,664,501,80,1,2424.186,228.671,6028.247,38017.458,126.972,65.128
"174763255020004",2013,41,2,29,75751,1,"202","PID410202975751","41029",119908,"M242","M242B","M242Be",1412,34.3802261352539,53,24,1143,-331,768,1373,163,42,62,1,315.167,84.638,1551.391,7529.259,34.562,17.489
"174763256020004",2013,41,2,19,91956,1,"202","PID410201991956","41019",101037,"M242","M242B","M242Be",1412,23.473388671875,68,30,1739,-409,659,1272,46,20,77,1,287.324,166.042,4268.172,24610.922,81.385,40.878
"174763257020004",2013,41,2,19,74679,1,"203","PID410201974679","41019",100093,"M242","M242B","M242Ba",766,91.6951446533203,54,19,1272,23,1085,1709,463,438,77,1,279.579,208.445,7152.915,40335,138.139,71.181
"174763258020004",2013,41,2,19,81216,1,"202","PID410201981216","41019",100758,"M242","M242B","M242Bb",1622,108.337432861328,57,25,2121,-209,712,1220,204,107,67,1,283.327,176.572,5972.447,36272.454,109.229,52.511
"174763273020004",2013,41,3,17,55338,1,"201","PID410301755338","41017",95828,"M242","M242C","M242Ce",1527,13.7113094329834,0,0,298,-808,583,1480,-315,-223,13,2,212.358,92.87,2037.371,10536.305,45.459,23.265
"174763274020004",2013,41,3,37,93181,1,"202","PID410303793181","41037",96220,"M242","M242C","M242Ce",1599,27.2396774291992,17,15,284,-674,617,1430,-197,-198,30,1,24.072,3.451,14.111,0,0.725,0.372
"174763275020004",2013,41,4,25,87727,1,"203","PID410402587727","41025",87519,"M332","M332G","M332Gh",1471,38.6652297973633,29,11,507,-805,660,1415,-96,-204,37,1,127.378,95.829,1967.054,8663.249,40.81,20.969
"174763276020004",2013,41,4,25,90249,1,"201","PID410402590249","41025",87519,"M332","M332G","M332Gh",1537,22.0227146148682,39,16,560,-769,646,1360,-67,-215,10,1,176.522,178.09,5292.625,28422.882,94.253,48.352
"174763277020004",2013,41,4,23,68277,1,"202","PID410402368277","41023",75546,"M332","M332G","M332Gp",1363,49.142650604248,38,18,540,-833,646,1380,-87,-115,44,1,307.376,172.208,4954.805,27549.274,100.968,50.699
"174763279020004",2013,41,0,57,84707,1,"201","PID410005784707","41057",65516,"M242","M242A","M242Ad",234,86.1220092773438,57,21,2911,201,1038,1517,560,648,76,1,39.037,271.576,16545.745,120083.101,267.428,135.953
"174763280020004",2013,41,0,5,68066,1,"203","PID410000568066","41005",66316,"M242","M242B","M242Ba",389,30.2654914855957,26,23,1659,-43,973,1512,436,473,60,2,61.473,169.99,7230.693,47559.935,133.874,68.896
"174763281020004",2013,41,0,5,96367,1,"201","PID410000596367","41005",66218,"M242","M242B","M242Ba",649,56.5331764221191,75,20,1694,-142,902,1453,352,364,53,1,340.487,318.391,12421.839,77093.109,234.598,120.842
"174763282020004",2013,41,4,1,71797,1,"201","PID410400171797","41001",68453,"M332","M332G","M332Ge",1122,97.9438629150391,55,23,703,-661,822,1536,108,-43,76,1,6.018,13.261,266.53,1437.984,6.139,3.168
"174763284020004",2013,41,3,65,71941,1,"202","PID410306571941","41065",64177,"M242","M242B","M242Bc",1073,0,0,0,1253,-451,607,1135,79,117,0,2,24.072,14.625,230.304,879.365,5.06,2.545
"174763285020004",2013,41,3,65,75852,1,"201","PID410306575852","41065",63882,"M242","M242C","M242Cd",992,5.65685415267944,57,22,832,-377,769,1319,220,184,73,1,123.313,126.703,3903.921,22972.42,73.15,36.896
"174763287020004",2013,41,4,23,59719,1,"202","PID410402359719","41023",83384,"M332","M332G","M332Gh",1727,43.6348495483398,45,19,706,-944,495,1239,-250,-258,54,1,337.195,115.971,3413.535,21047.146,66.635,33.257
"174763288020004",2013,41,1,41,84817,1,"201","PID410104184817","41041",81375,"M242","M242A","M242Ag",127,75.6835479736328,75,34,2093,236,1118,1646,592,667,85,1,375.868,136.655,3205.556,7665.903,71.761,36.155
"174763289020004",2013,41,4,59,88243,1,"204","PID410405988243","41059",53985,"M332","M332G","M332Gl",1228,90.5151901245117,42,18,981,-438,749,1280,217,-22,47,1,3.997,18.8,597.829,3826.893,13.353,6.423
"174763295020004",2013,41,3,17,75522,1,"202","PID410301775522","41017",93967,"M242","M242C","M242Ce",1502,3.16227769851685,35,18,280,-777,607,1467,-252,-203,19,1,308.398,110.334,1662.806,7200.489,45.843,23.326
"174763302020004",2013,41,3,35,96604,1,"202","PID410303596604","41035",100293,"M242","M242C","M242Cf",1400,6.70820379257202,0,0,738,-679,621,1375,-132,-55,2,2,99.037,14.851,235.918,926.78,5.296,2.664
"174763303020004",2013,41,3,35,99231,1,"201","PID410303599231","41035",113631,"M242","M242C","M242Ce",1620,31.5594673156738,50,29,1200,-487,647,1290,4,-20,67,1,149.429,123.268,2343.682,12745.092,67.305,32.928
"174763307020004",2013,41,1,39,58426,1,"203","PID410103958426","41039",86634,"M242","M242A","M242Ag",146,70.6186981201172,78,29,2195,313,1141,1644,637,726,79,1,52.004,389.304,25801.656,190177.661,452.861,233.676
"174763309020004",2013,41,2,15,83271,1,"202","PID410201583271","41015",122695,"M261","M261A","M261Ay",965,87.304069519043,3,8,3598,228,1095,1582,609,387,21,2,90.271,69.958,1057.649,4702.033,21.572,11.329
"174763310020004",2013,41,3,37,73923,1,"201","PID410303773923","41037",112609,"M242","M242C","M242Ce",1569,10.2956304550171,0,0,512,-698,666,1498,-166,-127,1,2,7.017,7.557,92.084,421.319,2.088,1.002
"174763311020004",2013,41,2,29,85055,1,"201","PID410202985055","41029",126720,"M261","M261A","M261Ao",1283,32.7108535766602,18,25,886,-24,987,1499,474,126,66,2,660.944,214.508,5776.414,25515.465,135.007,68.122
"174763312020004",2013,41,3,37,55522,1,"202","PID410303755522","41037",110555,"M242","M242C","M242Ce",2253,28.9136638641357,0,0,1026,-805,368,1021,-285,-367,9,2,233.433,58.596,728.136,2325.779,18.911,9.131
"174763316020004",2013,41,1,39,77832,1,"201","PID410103977832","41039",83580,"M242","M242B","M242Bc",1585,26.4764041900635,53,27,2548,-360,600,1131,68,86,50,1,909.391,175.453,3586.529,16787.529,76.085,36.478
"174763317020004",2013,41,4,1,62663,1,"203","PID410400162663","41001",67920,"M332","M332G","M332Ge",1482,32.4653663635254,26,15,938,-673,675,1293,56,-120,16,1,373.303,203.289,5786.848,33338.085,116.428,57.2
"174763318020004",2013,41,4,1,54202,1,"203","PID410400154202","41001",68610,"M332","M332G","M332Ge",1386,77.7817459106445,43,19,1021,-685,677,1306,48,-143,42,1,40.082,80.615,2547.775,15913.627,49.24,25.143
"174763321020004",2013,41,2,19,79207,1,"201","PID410201979207","41019",92409,"M242","M242A","M242Ag",168,132.89469909668,54,23,2074,304,1161,1676,647,736,79,1,42.08,215.113,8383.149,58731.491,165.265,84.047
"174763322020004",2013,41,2,19,70930,1,"202","PID410201970930","41019",101639,"M242","M242B","M242Bb",1304,110.693267822266,58,30,1720,-85,867,1435,299,224,67,1,59.158,185.967,8205.562,54577.273,153.877,79.4
"174763324020004",2013,41,4,49,63997,1,"201","PID410404963997","41049",64064,"M332","M332G","M332Gc",1652,42.7434196472168,48,19,887,-571,523,1009,38,-194,65,1,7.017,12.755,190.689,953.454,5.308,2.625
"174763326020004",2013,41,1,39,87819,1,"203","PID410103987819","41039",94781,"M242","M242B","M242Ba",844,73.205192565918,81,27,1619,66,1026,1567,486,483,83,1,183.221,250.022,10725.604,72269.349,206.009,106.526
"174763327020004",2013,41,3,37,94554,1,"201","PID410303794554","41037",127344,"M261","M261G","M261Gc",1690,12.5698051452637,6,18,368,-616,682,1405,-41,-201,2,2,51.142,82.883,693.563,3079.098,20.746,9.958
"174763337020004",2013,41,3,37,80357,1,"201","PID410303780357","41037",115776,"M242","M242C","M242Ce",1854,12.5698051452637,7,18,767,-848,476,1272,-320,-274,13,2,718.854,149.794,2082.971,6223.12,46.595,23.803
"174763338020004",2013,41,1,39,86077,1,"201","PID410103986077","41039",93394,"M242","M242B","M242Bb",1618,90.1665115356445,59,34,1796,-321,642,1182,102,33,72,1,252.214,212.433,9037.083,60013.363,140.45,69.726
"174763339020004",2013,41,3,35,73210,1,"201","PID410303573210","41035",116429,"M242","M242C","M242Ce",1399,6.40312433242798,42,18,530,-631,717,1510,-75,-3,32,1,66.199,96.44,2251.758,12201.055,50.341,25.825
"174763340020004",2013,41,1,39,78350,1,"201","PID410103978350","41039",94307,"M242","M242B","M242Bb",1626,136.886810302734,4,18,1767,-246,650,1150,152,35,22,2,249.967,24.012,512.713,2772.787,10.102,4.938
"174763341020004",2013,41,3,17,57378,1,"201","PID410301757378","41017",94457,"M242","M242C","M242Ce",2075,78.0576705932617,41,17,719,-709,398,1010,-212,-311,48,1,725.328,217.897,5055.423,27055.353,108.726,52.051
"174763342020004",2013,41,3,17,56017,1,"202","PID410301756017","41017",94256,"M242","M242C","M242Ce",1847,17.0293865203857,33,15,435,-577,582,1217,-54,-177,25,1,873.283,87.746,538.783,338.55,22.751,11.422
"174763344020004",2013,41,0,51,80651,1,"201","PID410005180651","41051",55369,"M242","M242B","M242Ba",271,167.561935424805,6,38,2156,45,1102,1615,588,568,43,1,414.135,365.259,12924.589,84873.711,249.598,128.597
"174763345020004",2013,41,4,59,75449,1,"202","PID410405975449","41059",57562,"M332","M332G","M332Gc",1502,74.7863616943359,2,7,1041,-528,645,1166,124,-59,13,2,18.008,81.13,2805.279,18426.219,60.638,29.753
"174763359020004",2013,41,3,35,65849,1,"201","PID410303565849","41035",128741,"M261","M261G","M261Gc",1634,29.2916374206543,33,17,509,-573,715,1426,5,-168,25,1,90.271,115.078,2824.975,15074.386,61.939,31.775
"174763360020004",2013,41,3,37,53229,1,"201","PID410303753229","41037",128508,"M261","M261G","M261Gf",2031,67.7642974853516,27,14,914,-670,567,1206,-72,-403,31,1,104.282,100.504,2423.406,13192.164,52.502,26.891
"174763361020004",2013,41,4,1,52345,1,"202","PID410400152345","41001",72561,"M332","M332G","M332Gl",2202,50.9215087890625,26,12,857,-799,354,890,-182,-388,35,1,289.345,82.052,838.627,3086.971,25.195,12.343
"174763364020004",2013,41,3,35,69475,1,"201","PID410303569475","41035",113529,"M242","M242C","M242Ce",1430,7.93725395202637,46,24,728,-639,678,1438,-84,-12,59,1,377.571,183.447,5459.034,29865.981,102.314,52.217
"174763365020004",2013,41,2,15,76499,1,"203","PID410201576499","41015",127977,"M261","M261A","M261Aa",726,32.6036796569824,13,19,3412,17,1134,1852,416,429,56,2,176.499,239.204,5957.024,32513.187,157.131,78.961
"174763366020004",2013,41,2,33,59927,1,"203","PID410203359927","41033",127977,"M261","M261A","M261Aa",1094,78.4474334716797,8,22,3490,51,1066,1659,472,383,39,2,0,0,0,0,0,0
"174763367020004",2013,41,1,39,82221,1,"201","PID410103982221","41039",99447,"M242","M242B","M242Bb",906,87.8123016357422,72,18,1571,-17,1006,1606,405,315,75,1,939.96,84.604,1026.822,4448.727,28.508,14.566
"174763368020004",2013,41,1,39,71978,1,"202","PID410103971978","41039",90044,"M242","M242B","M242Bb",1543,136.337814331055,38,12,2269,-256,656,1165,149,-1,47,1,47.122,153.082,6520.286,43846.975,114.949,57.921
