year,sex,name,n,prop
1896,M,Tyler,6,4.649e-5
1896,M,Emily,5,3.874e-5
1896,M,Meredith,5,3.874e-5
1897,F,Ella,1708,0.00687947
1897,F,Emily,619,0.0024932
1897,F,Eleanor,559,0.00225154
1897,F,Anne,479,0.00192931
1897,F,Eddie,52,2.0945e-4
1897,F,Luna,36,1.45e-4
1897,F,James,30,1.2083e-4
1897,F,Fae,21,8.458e-5
1897,F,Amber,15,6.042e-5
1897,M,James,5113,0.04192977
1897,M,Eddie,263,0.00215676
1897,M,Alex,130,0.00106608
1897,M,Elijah,65,5.3304e-4
1897,M,Chris,35,2.8702e-4
1897,M,Colin,8,6.56e-5
1897,M,Meredith,6,4.92e-5
1898,F,Ella,1715,0.00625584
1898,F,Emily,628,0.00229077
1898,F,Eleanor,620,0.00226159
1898,F,Anne,496,0.00180927
1898,F,Eddie,57,2.0792e-4
1898,F,Luna,32,1.1673e-4
1898,F,James,29,1.0578e-4
1898,F,Amber,15,5.472e-5
1898,F,Fae,6,2.189e-5
1898,M,James,5321,0.04027887
1898,M,Eddie,256,0.00193787
1898,M,Alex,149,0.0011279
1898,M,Elijah,76,5.753e-4
1898,M,Chris,33,2.498e-4
1898,M,Ella,11,8.327e-5
1898,M,Colin,5,3.785e-5
1898,M,Tyler,5,3.785e-5
1899,F,Ella,1502,0.00606893
1899,F,Eleanor,575,0.00232333
1899,F,Emily,569,0.00229908
1899,F,Anne,476,0.00192331
1899,F,Eddie,49,1.9799e-4
1899,F,Luna,30,1.2122e-4
1899,F,James,27,1.091e-4
1899,F,Fae,19,7.677e-5
1899,F,Amber,11,4.445e-5
1899,M,James,4597,0.03990694
1899,M,Eddie,258,0.00223972
1899,M,Alex,133,0.00115458
1899,M,Elijah,64,5.5559e-4
1899,M,Chris,36,3.1252e-4
1899,M,Ella,8,6.945e-5
1899,M,Tyler,5,4.341e-5
1900,F,Ella,1911,0.00601412
1900,F,Eleanor,753,0.00236977
1900,F,Emily,626,0.00197009
1900,F,Anne,614,0.00193232
1900,F,Eddie,93,2.9268e-4
1900,F,James,41,1.2903e-4
1900,F,Luna,30,9.441e-5
1900,F,Amber,15,4.721e-5
1900,F,Fae,15,4.721e-5
1900,F,Meredith,5,1.574e-5
1900,M,James,7245,0.04468554
1900,M,Eddie,425,0.0026213
1900,M,Alex,192,0.00118421
1900,M,Elijah,86,5.3043e-4
1900,M,Chris,45,2.7755e-4
1900,M,Ella,12,7.401e-5
1900,M,Tyler,11,6.785e-5
1900,M,Meredith,6,3.701e-5
1900,M,Anne,5,3.084e-5
1901,F,Ella,1435,0.00564452
1901,F,Eleanor,686,0.00269835
1901,F,Emily,537,0.00211227
1901,F,Anne,504,0.00198246
1901,F,Eddie,55,2.1634e-4
1901,F,James,30,1.18e-4
1901,F,Luna,23,9.047e-5
1901,F,Amber,13,5.114e-5
1901,F,Fae,13,5.114e-5
1901,M,James,4735,0.04096198
1901,M,Eddie,296,0.00256066
1901,M,Alex,138,0.00119382
1901,M,Elijah,79,6.8342e-4
1901,M,Chris,26,2.2492e-4
1901,M,Meredith,8,6.921e-5
1901,M,Ella,7,6.056e-5
1902,F,Ella,1525,0.00543994
1902,F,Eleanor,837,0.00298572
1902,F,Emily,606,0.00216171
1902,F,Anne,564,0.00201189
1902,F,Eddie,68,2.4257e-4
1902,F,Luna,32,1.1415e-4
1902,F,James,30,1.0702e-4
1902,F,Fae,16,5.707e-5
1902,F,Amber,9,3.21e-5
1902,F,Meredith,8,2.854e-5
1902,M,James,5592,0.04212429
1902,M,Eddie,353,0.00265913
1902,M,Alex,154,0.00116008
1902,M,Elijah,66,4.9718e-4
1902,M,Chris,37,2.7872e-4
1902,M,Meredith,9,6.78e-5
1902,M,Ella,7,5.273e-5
1902,M,Colin,5,3.766e-5
1903,F,Ella,1419,0.00510072
1903,F,Eleanor,840,0.00301945
1903,F,Anne,581,0.00208846
1903,F,Emily,558,0.00200578
1903,F,Eddie,69,2.4803e-4
1903,F,James,28,1.0065e-4
1903,F,Luna,28,1.0065e-4
1903,F,Fae,15,5.392e-5
1903,F,Meredith,8,2.876e-5
1903,F,Amber,7,2.516e-5
1903,M,James,5480,0.04237354
1903,M,Eddie,314,0.00242797
1903,M,Alex,138,0.00106707
1903,M,Elijah,58,4.4848e-4
1903,M,Chris,35,2.7063e-4
1903,M,Ella,7,5.413e-5
1903,M,Meredith,6,4.639e-5
1903,M,Tyler,6,4.639e-5
1904,F,Ella,1432,0.0048968
1904,F,Eleanor,868,0.00296817
1904,F,Anne,631,0.00215774
1904,F,Emily,599,0.00204831
1904,F,Eddie,70,2.3937e-4
1904,F,Luna,30,1.0259e-4
1904,F,Amber,29,9.917e-5
1904,F,James,27,9.233e-5
1904,F,Fae,20,6.839e-5
1904,F,Meredith,5,1.71e-5
1904,M,James,5855,0.04227193
1904,M,Eddie,315,0.00227424
1904,M,Alex,169,0.00122015
1904,M,Elijah,60,4.3319e-4
1904,M,Chris,27,1.9493e-4
1904,M,Colin,8,5.776e-5
1904,M,Meredith,8,5.776e-5
1904,M,Ella,7,5.054e-5
1904,M,Tyler,5,3.61e-5
1905,F,Ella,1438,0.00464073
1905,F,Eleanor,1041,0.00335953
1905,F,Anne,708,0.00228487
1905,F,Emily,683,0.00220419
1905,F,Eddie,85,2.7431e-4
1905,F,James,35,1.1295e-4
1905,F,Luna,30,9.682e-5
1905,F,Amber,18,5.809e-5
1905,F,Fae,16,5.164e-5
1905,F,Meredith,10,3.227e-5
1905,M,James,6042,0.04218154
1905,M,Eddie,346,0.00241556
1905,M,Alex,166,0.00115891
1905,M,Elijah,81,5.6549e-4
1905,M,Chris,25,1.7453e-4
1905,M,Ella,10,6.981e-5
1905,M,Meredith,9,6.283e-5
1905,M,Grayson,6,4.189e-5
1905,M,Tyler,6,4.189e-5
1905,M,Colin,5,3.491e-5
1906,F,Ella,1343,0.00428471
1906,F,Eleanor,1088,0.00347116
1906,F,Anne,835,0.00266399
1906,F,Emily,619,0.00197486
1906,F,Eddie,85,2.7118e-4
1906,F,James,37,1.1804e-4
1906,F,Luna,26,8.295e-5
1906,F,Fae,24,7.657e-5
1906,F,Amber,16,5.105e-5
1906,F,Meredith,6,1.914e-5
1906,M,James,5908,0.04100756
1906,M,Eddie,377,0.00261677
1906,M,Alex,176,0.00122162
1906,M,Elijah,65,4.5117e-4
1906,M,Chris,30,2.0823e-4
1906,M,Meredith,8,5.553e-5
1906,M,Ella,7,4.859e-5
1906,M,Eleanor,5,3.471e-5
1907,F,Ella,1451,0.0043001
1907,F,Eleanor,1155,0.00342289
1907,F,Anne,980,0.00290427
1907,F,Emily,714,0.00211597
1907,F,Eddie,77,2.2819e-4
1907,F,James,45,1.3336e-4
1907,F,Luna,33,9.78e-5
1907,F,Amber,24,7.113e-5
1907,F,Meredith,13,3.853e-5
1907,F,Fae,12,3.556e-5
1907,M,James,6707,0.04229224
1907,M,Eddie,394,0.00248444
1907,M,Alex,186,0.00117286
1907,M,Elijah,76,4.7923e-4
1907,M,Chris,29,1.8286e-4
1907,M,Meredith,10,6.306e-5
1907,M,Colin,6,3.783e-5
1907,M,Ella,6,3.783e-5
1907,M,Tyler,5,3.153e-5
1908,F,Ella,1428,0.00402786
1908,F,Eleanor,1302,0.00367246
1908,F,Anne,1088,0.00306884
1908,F,Emily,732,0.0020647
1908,F,Eddie,94,2.6514e-4
1908,F,Luna,39,1.1e-4
1908,F,James,32,9.026e-5
1908,F,Fae,28,7.898e-5
1908,F,Amber,20,5.641e-5
1908,F,Meredith,14,3.949e-5
1908,M,James,7012,0.04214753
1908,M,Eddie,413,0.00248245
1908,M,Alex,199,0.00119614
1908,M,Elijah,64,3.8469e-4
1908,M,Chris,37,2.224e-4
1908,M,Meredith,15,9.016e-5
1908,M,Eleanor,9,5.41e-5
1908,M,Tyler,7,4.208e-5
1908,M,Anne,6,3.606e-5
1908,M,Ella,6,3.606e-5
1908,M,Grayson,6,3.606e-5
1908,M,Nicola,6,3.606e-5
1908,M,Colin,5,3.005e-5
1909,F,Eleanor,1460,0.00396636
1909,F,Ella,1382,0.00375446
1909,F,Anne,1110,0.00301552
1909,F,Emily,749,0.0020348
1909,F,Eddie,104,2.8253e-4
1909,F,James,52,1.4127e-4
1909,F,Luna,27,7.335e-5
1909,F,Fae,22,5.977e-5
1909,F,Amber,19,5.162e-5
1909,F,Meredith,16,4.347e-5
1909,M,James,7594,0.04293622
1909,M,Eddie,462,0.00261213
1909,M,Alex,227,0.00128345
1909,M,Elijah,90,5.0886e-4
1909,M,Chris,48,2.7139e-4
1909,M,Meredith,17,9.612e-5
1909,M,Ella,9,5.089e-5
1909,M,Anne,5,2.827e-5
1909,M,Colin,5,2.827e-5
1910,F,Eleanor,1797,0.00428341
1910,F,Ella,1587,0.00378284
1910,F,Anne,1413,0.00336809
1910,F,Emily,785,0.00187116
1910,F,Eddie,126,3.0034e-4
1910,F,James,63,1.5017e-4
1910,F,Luna,38,9.058e-5
1910,F,Fae,31,7.389e-5
1910,F,Amber,28,6.674e-5
1910,F,Meredith,24,5.721e-5
1910,M,James,9195,0.04409628
1910,M,Eddie,595,0.00285343
1910,M,Alex,256,0.00122769
1910,M,Elijah,101,4.8436e-4
1910,M,Chris,32,1.5346e-4
1910,M,Meredith,14,6.714e-5
1910,M,Ella,8,3.837e-5
1910,M,Tyler,8,3.837e-5
1910,M,Colin,5,2.398e-5
1910,M,Eleanor,5,2.398e-5
1910,M,Grayson,5,2.398e-5
1910,M,Nicola,5,2.398e-5
1911,F,Eleanor,2035,0.00460597
1911,F,Ella,1604,0.00363045
1911,F,Anne,1598,0.00361687
1911,F,Emily,909,0.00205741
1911,F,Eddie,120,2.7161e-4
1911,F,James,69,1.5617e-4
1911,F,Fae,27,6.111e-5
1911,F,Luna,23,5.206e-5
1911,F,Meredith,16,3.621e-5
1911,F,Amber,14,3.169e-5
1911,M,James,9951,0.04122289
1911,M,Eddie,523,0.00216657
1911,M,Alex,268,0.00111021
1911,M,Elijah,94,3.894e-4
1911,M,Chris,43,1.7813e-4
1911,M,Meredith,16,6.628e-5
1911,M,Tyler,13,5.385e-5
1911,M,Ella,9,3.728e-5
1911,M,Colin,7,2.9e-5
1911,M,Eleanor,6,2.486e-5
1911,M,Nicola,6,2.486e-5
1911,M,Anne,5,2.071e-5
1911,M,Grayson,5,2.071e-5
1912,F,Eleanor,3120,0.00531777
1912,F,Anne,2369,0.00403776
1912,F,Ella,1921,0.00327418
1912,F,Emily,1147,0.00195496
1912,F,Eddie,161,2.7441e-4
1912,F,James,81,1.3806e-4
1912,F,Fae,32,5.454e-5
1912,F,Luna,31,5.284e-5
1912,F,Meredith,20,3.409e-5
1912,F,Amber,19,3.238e-5
1912,M,James,17644,0.03908235
1912,M,Eddie,718,0.00159041
1912,M,Alex,482,0.00106765
1912,M,Elijah,142,3.1454e-4
1912,M,Chris,76,1.6834e-4
1912,M,Meredith,34,7.531e-5
1912,M,Tyler,21,4.652e-5
1912,M,Nicola,17,3.766e-5
1912,M,Colin,12,2.658e-5
1912,M,Grayson,12,2.658e-5
1912,M,Brendan,9,1.994e-5
1912,M,Anne,7,1.551e-5
1912,M,Eleanor,6,1.329e-5
1912,M,Emily,6,1.329e-5
1913,F,Eleanor,3938,0.00601301
1913,F,Anne,2684,0.00409825
1913,F,Ella,2071,0.00316225
1913,F,Emily,1387,0.00211784
1913,F,Eddie,183,2.7943e-4
1913,F,James,95,1.4506e-4
1913,F,Fae,38,5.802e-5
1913,F,Meredith,38,5.802e-5
1913,F,Amber,35,5.344e-5
1913,F,Luna,34,5.192e-5
1913,M,James,20831,0.0388459
1913,M,Eddie,878,0.00163731
1913,M,Alex,604,0.00112635
1913,M,Elijah,149,2.7786e-4
1913,M,Chris,81,1.5105e-4
1913,M,Meredith,43,8.019e-5
1913,M,Colin,17,3.17e-5
1913,M,Grayson,15,2.797e-5
1913,M,Nicola,15,2.797e-5
1913,M,Tyler,13,2.424e-5
1913,M,Ella,11,2.051e-5
1913,M,Anne,10,1.865e-5
1913,M,Brendan,8,1.492e-5
1913,M,Eleanor,7,1.305e-5
1914,F,Eleanor,5374,0.00674601
1914,F,Anne,3365,0.0042241
1914,F,Ella,2308,0.00289724
1914,F,Emily,1650,0.00207125
1914,F,Eddie,210,2.6361e-4
1914,F,James,107,1.3432e-4
1914,F,Fae,52,6.528e-5
1914,F,Luna,44,5.523e-5
1914,F,Meredith,40,5.021e-5
1914,F,Amber,38,4.77e-5
1914,F,Chris,8,1.004e-5
1914,M,James,26263,0.03843413
1914,M,Eddie,1009,0.0014766
1914,M,Alex,789,0.00115465
1914,M,Elijah,187,2.7366e-4
1914,M,Chris,126,1.8439e-4
1914,M,Meredith,52,7.61e-5
1914,M,Colin,23,3.366e-5
1914,M,Nicola,18,2.634e-5
1914,M,Grayson,15,2.195e-5
1914,M,Tyler,15,2.195e-5
1914,M,Brendan,13,1.902e-5
1914,M,Eleanor,12,1.756e-5
1914,M,Anne,10,1.463e-5
1914,M,Ella,10,1.463e-5
1915,F,Eleanor,7036,0.00687193
1915,F,Anne,4333,0.00423196
1915,F,Ella,2954,0.00288511
1915,F,Emily,2091,0.00204224
1915,F,Eddie,280,2.7347e-4
1915,F,James,155,1.5139e-4
1915,F,Fae,65,6.348e-5
1915,F,Meredith,49,4.786e-5
1915,F,Amber,39,3.809e-5
1915,F,Luna,39,3.809e-5
1915,F,Alex,11,1.074e-5
1915,M,James,33776,0.03834086
1915,M,Eddie,1124,0.0012759100000000001
1915,M,Alex,1008,0.00114423
1915,M,Elijah,243,2.7584e-4
1915,M,Chris,145,1.646e-4
1915,M,Meredith,87,9.876e-5
1915,M,Colin,31,3.519e-5
1915,M,Nicola,31,3.519e-5
1915,M,Grayson,27,3.065e-5
1915,M,Tyler,22,2.497e-5
1915,M,Eleanor,15,1.703e-5
1915,M,Anne,9,1.022e-5
1915,M,Ella,8,9.08e-6
1915,M,Brendan,7,7.95e-6
1915,M,Luna,5,5.68e-6
1916,F,Eleanor,7406,0.00682127
1916,F,Anne,4571,0.00421011
1916,F,Ella,2965,0.0027309
1916,F,Emily,2213,0.00203828
1916,F,Eddie,254,2.3395e-4
1916,F,James,166,1.5289e-4
1916,F,Fae,79,7.276e-5
1916,F,Meredith,66,6.079e-5
1916,F,Luna,58,5.342e-5
1916,F,Amber,52,4.789e-5
1916,F,Alex,8,7.37e-6
1916,M,James,35569,0.03852557
1916,M,Eddie,1311,0.00141997
1916,M,Alex,1094,0.00118494
1916,M,Elijah,232,2.5128e-4
1916,M,Chris,148,1.603e-4
1916,M,Meredith,69,7.474e-5
1916,M,Colin,42,4.549e-5
1916,M,Tyler,27,2.924e-5
1916,M,Nicola,25,2.708e-5
1916,M,Grayson,24,2.599e-5
1916,M,Anne,12,1.3e-5
1916,M,Brendan,10,1.083e-5
1916,M,Eleanor,10,1.083e-5
1916,M,Ella,5,5.42e-6
1916,M,Emily,5,5.42e-6
1916,M,Izzy,5,5.42e-6
1917,F,Eleanor,7669,0.00682479
1917,F,Anne,4603,0.0040963
1917,F,Ella,3054,0.00271781
1917,F,Emily,2220,0.00197562
1917,F,Eddie,254,2.2604e-4
1917,F,James,182,1.6197e-4
1917,F,Fae,70,6.229e-5
1917,F,Meredith,63,5.606e-5
1917,F,Luna,49,4.361e-5
1917,F,Amber,40,3.56e-5
1917,F,Alex,7,6.23e-6
1917,F,Chris,6,5.34e-6
1917,M,James,37339,0.03892216
1917,M,Eddie,1265,0.00131864
1917,M,Alex,1081,0.00112683
1917,M,Elijah,256,2.6685e-4
1917,M,Chris,145,1.5115e-4
1917,M,Meredith,74,7.714e-5
1917,M,Colin,42,4.378e-5
1917,M,Grayson,26,2.71e-5
1917,M,Tyler,26,2.71e-5
1917,M,Nicola,23,2.398e-5
1917,M,Ella,15,1.564e-5
1917,M,Eleanor,13,1.355e-5
1917,M,Brendan,12,1.251e-5
1917,M,Anne,7,7.3e-6
1918,F,Eleanor,8176,0.00679993
1918,F,Anne,4567,0.00379835
1918,F,Ella,3290,0.00273627
1918,F,Emily,2361,0.00196363
1918,F,Eddie,315,2.6198e-4
1918,F,James,212,1.7632e-4
1918,F,Meredith,82,6.82e-5
1918,F,Fae,61,5.073e-5
1918,F,Luna,45,3.743e-5
1918,F,Amber,29,2.412e-5
1918,F,Alex,8,6.65e-6
1918,M,James,42119,0.04016405
1918,M,Eddie,1424,0.00135791
1918,M,Alex,1207,0.00115098
1918,M,Elijah,264,2.5175e-4
1918,M,Chris,179,1.7069e-4
1918,M,Meredith,93,8.868e-5
1918,M,Colin,45,4.291e-5
1918,M,Nicola,29,2.765e-5
1918,M,Tyler,27,2.575e-5
1918,M,Grayson,25,2.384e-5
1918,M,Anne,11,1.049e-5
1918,M,Eleanor,11,1.049e-5
1918,M,Brendan,10,9.54e-6
1918,M,Ella,8,7.63e-6
1918,M,Izzy,5,4.77e-6
1919,F,Eleanor,7611,0.00647939
1919,F,Anne,3975,0.00338399
1919,F,Ella,3158,0.00268846
1919,F,Emily,2307,0.00196399
1919,F,Eddie,312,2.6561e-4
1919,F,James,192,1.6345e-4
1919,F,Meredith,66,5.619e-5
1919,F,Fae,58,4.938e-5
1919,F,Luna,48,4.086e-5
1919,F,Amber,33,2.809e-5
1919,F,Chris,7,5.96e-6
1919,F,Alex,5,4.26e-6
1919,M,James,42392,0.04175165
1919,M,Eddie,1660,0.00163493
1919,M,Alex,1082,0.00106566
1919,M,Elijah,295,2.9054e-4
1919,M,Chris,128,1.2607e-4
1919,M,Meredith,77,7.584e-5
1919,M,Colin,43,4.235e-5
1919,M,Grayson,35,3.447e-5
1919,M,Tyler,31,3.053e-5
1919,M,Nicola,28,2.758e-5
1919,M,Brendan,16,1.576e-5
1919,M,Ella,15,1.477e-5
1919,M,Eleanor,10,9.85e-6
1919,M,Anne,8,7.88e-6
1919,M,Emily,6,5.91e-6
1919,M,Luna,5,4.92e-6
1920,F,Eleanor,8498,0.00683098
1920,F,Anne,4114,0.00330697
1920,F,Ella,3232,0.00259799
1920,F,Emily,2168,0.00174271
1920,F,Eddie,308,2.4758e-4
1920,F,James,249,2.0015e-4
1920,F,Meredith,75,6.029e-5
1920,F,Fae,63,5.064e-5
1920,F,Luna,47,3.778e-5
1920,F,Amber,28,2.251e-5
1920,F,Alex,11,8.84e-6
1920,F,Chris,11,8.84e-6
1920,F,Nicola,5,4.02e-6
1920,M,James,47909,0.04352131
1920,M,Eddie,1682,0.00152796
1920,M,Alex,1070,9.7201e-4
1920,M,Elijah,277,2.5163e-4
1920,M,Chris,180,1.6351e-4
1920,M,Meredith,106,9.629e-5
